trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,14.232689177952848,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",25,0,-77.72947397720077,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",30,0,-71.88679543079166,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",30,4,-14.220068752458209,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-23.493851753174095,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,0,-81.4592747351495,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,3,-10.35405888616247,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,9,-36.41225670982062,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,8,-1.31143791313266,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,8,20.698028862237933,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,0,-78.80429807138424,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,11,-17.3736945584245,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,11,14.206870335131278,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,0,-170.62539828015207,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",30,0,-96.40847633971576,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,17,-6.38118103508379,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",30,0,-32.512226933057946,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,10,-33.07678553094334,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",25,3,-19.21154688838393,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,0,-120.20220237946197,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,14,5.687601002466822,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,4,23.368557068007142,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",30,0,-47.406613590468204,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,13,11.59163414313934,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,8,-67.54521714704266,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,0,-40.56701524975443,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,0,5.786602326247197,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,18,2.9103741292467857,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,20,8.117681644286924,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,10,11.6143582284686,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
